"TIME","GEO","C_RESID","UNIT","NACE_R2","Value","Flag and Footnotes"
"2010","Belgium","Foreign country","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","7,186,419",""
"2010","Belgium","Foreign country","Number","Hotels and similar accommodation","5,771,650",""
"2010","Belgium","Foreign country","Number","Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","1,414,769",""
"2010","Belgium","Foreign country","Number","Holiday and other short-stay accommodation","939,448",""
"2010","Belgium","Foreign country","Number","Camping grounds, recreational vehicle parks and trailer parks","475,321",""
"2010","Belgium","Foreign country","Percentage change on previous period","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","5.47",""
"2010","Belgium","Foreign country","Percentage change on previous period","Hotels and similar accommodation","5.9",""
"2010","Belgium","Foreign country","Percentage change on previous period","Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","3.74",""
"2010","Belgium","Foreign country","Percentage change on previous period","Holiday and other short-stay accommodation","4.24",""
"2010","Belgium","Foreign country","Percentage change on previous period","Camping grounds, recreational vehicle parks and trailer parks","2.76",""
"2010","Belgium","Reporting country","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","5,801,632",""
"2010","Belgium","Reporting country","Number","Hotels and similar accommodation","3,601,163",""
"2010","Belgium","Reporting country","Number","Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","2,200,469",""
"2010","Belgium","Reporting country","Number","Holiday and other short-stay accommodation","1,929,775",""
"2010","Belgium","Reporting country","Number","Camping grounds, recreational vehicle parks and trailer parks","270,694",""
"2010","Belgium","Reporting country","Percentage change on previous period","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","6.85",""
"2010","Belgium","Reporting country","Percentage change on previous period","Hotels and similar accommodation","11.93",""
"2010","Belgium","Reporting country","Percentage change on previous period","Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","-0.53",""
"2010","Belgium","Reporting country","Percentage change on previous period","Holiday and other short-stay accommodation","-0.21",""
"2010","Belgium","Reporting country","Percentage change on previous period","Camping grounds, recreational vehicle parks and trailer parks","-2.8",""
"2010","Belgium","Total","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","12,988,051",""
"2010","Belgium","Total","Number","Hotels and similar accommodation","9,372,813",""
"2010","Belgium","Total","Number","Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","3,615,238",""
"2010","Belgium","Total","Number","Holiday and other short-stay accommodation","2,869,223",""
"2010","Belgium","Total","Number","Camping grounds, recreational vehicle parks and trailer parks","746,015",""
"2010","Belgium","Total","Percentage change on previous period","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","6.08",""
"2010","Belgium","Total","Percentage change on previous period","Hotels and similar accommodation","8.14",""
